timestamp,configuration,run_number,total_lookups,cache_hits,cache_hit_percent,bucket_hits,bucket_hit_percent,misses,miss_percent,cache_hit_latency_ns,cache_hit_stddev_ns,cache_hit_min_ns,cache_hit_max_ns,bucket_search_latency_ns,bucket_search_stddev_ns,bucket_search_min_ns,bucket_search_max_ns,context_predictions_total,context_correct,context_accuracy_percent,window_diversity_percent,window_final_size_bytes,total_runtime_ms,memory_allocated_bytes,speedup_vs_baseline,ci_lower_95,ci_upper_95,cpu_temp_before_c,cpu_freq_before_mhz,cpu_temp_after_c,cpu_freq_after_mhz
2025-11-07T06:46:20,C_FULL,9,100000,17389,17.39,82611,82.61,0,0.00,34.028,0.000,21.000,72581.000,36.073,0.000,26.000,19922.000,0,0,0,0,0,6.63,0,1.0,0,0,27,2900,27,2907
2025-11-07T06:46:20,C_FULL,25,100000,17389,17.39,82611,82.61,0,0.00,30.587,0.000,22.000,440.000,37.276,0.000,27.000,123216.000,0,0,0,0,0,6.67,0,1.0,0,0,27,2895,27,2900
2025-11-07T06:46:28,A_BASELINE,4,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,1.0,0,0,27,2900,27,2900
2025-11-07T06:46:37,B_CACHE,17,100000,17389,17.39,82611,82.61,0,0.00,32.538,0.000,22.000,341.000,36.896,0.000,27.000,14930.000,0,0,0,0,0,6.63,0,1.0,0,0,27,2891,27,2899
2025-11-07T06:46:46,C_FULL,21,100000,17389,17.39,82611,82.61,0,0.00,30.650,0.000,22.000,2498.000,39.121,0.000,27.000,108932.000,0,0,0,0,0,6.87,0,1.0,0,0,27,2899,27,2907
2025-11-07T06:46:46,C_FULL,17,100000,17389,17.39,82611,82.61,0,0.00,30.303,0.000,22.000,173.000,38.824,0.000,27.000,99899.000,0,0,0,0,0,6.88,0,1.0,0,0,27,2900,27,2899
2025-11-07T06:46:53,B_CACHE,20,100000,17389,17.39,82611,82.61,0,0.00,30.650,0.000,22.000,130.000,36.287,0.000,27.000,39469.000,0,0,0,0,0,6.51,0,1.0,0,0,27,2900,27,2900
2025-11-07T06:46:53,B_CACHE,26,100000,17389,17.39,82611,82.61,0,0.00,30.993,0.000,22.000,3133.000,58.184,-0.001,27.000,1472320.000,0,0,0,0,0,8.41,0,1.0,0,0,27,2900,27,2900
2025-11-07T06:47:01,C_FULL,11,100000,17389,17.39,82611,82.61,0,0.00,34.282,0.000,22.000,58689.000,46.202,0.000,26.000,272892.000,0,0,0,0,0,7.63,0,1.0,0,0,27,2899,27,2899
2025-11-07T06:47:08,A_BASELINE,27,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.93,0,1.0,0,0,27,2899,27,2899
2025-11-07T06:47:15,B_CACHE,18,100000,17389,17.39,82611,82.61,0,0.00,37.151,0.000,21.000,44814.000,38.137,0.000,26.000,51376.000,0,0,0,0,0,7.19,0,1.0,0,0,27,2900,27,2900
2025-11-07T06:47:15,B_CACHE,12,100000,17389,17.39,82611,82.61,0,0.00,32.688,0.000,22.000,8639.000,36.436,0.000,27.000,6622.000,0,0,0,0,0,6.61,0,1.0,0,0,27,2898,27,2899
2025-11-07T06:47:22,C_FULL,2,100000,17389,17.39,82611,82.61,0,0.00,31.761,0.000,22.000,24055.000,37.006,0.000,27.000,35817.000,0,0,0,0,0,6.61,0,1.0,0,0,27,2900,27,2899
2025-11-07T06:47:30,A_BASELINE,25,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,1.0,0,0,27,2900,27,2900
2025-11-07T06:47:30,A_BASELINE,14,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,0,1.0,0,0,27,2965,27,2899
2025-11-07T06:47:38,C_FULL,24,100000,17389,17.39,82611,82.61,0,0.00,30.178,0.000,22.000,173.000,57.143,0.001,27.000,1035070.000,0,0,0,0,0,8.25,0,1.0,0,0,27,2899,27,2899
2025-11-07T06:47:38,C_FULL,8,100000,17389,17.39,82611,82.61,0,0.00,64.425,0.001,22.000,430386.000,41.003,0.000,27.000,153589.000,0,0,0,0,0,7.81,0,1.0,0,0,27,2899,27,2900
2025-11-07T06:47:44,B_CACHE,27,100000,17389,17.39,82611,82.61,0,0.00,30.362,0.000,22.000,148.000,36.854,0.000,27.000,13376.000,0,0,0,0,0,6.62,0,1.0,0,0,27,2899,27,2900
2025-11-07T06:47:45,B_CACHE,4,100000,17389,17.39,82611,82.61,0,0.00,30.427,0.000,22.000,3582.000,35.277,0.000,27.000,5260.000,0,0,0,0,0,6.95,0,1.0,0,0,27,2900,27,2898
2025-11-07T06:47:52,C_FULL,7,100000,17389,17.39,82611,82.61,0,0.00,32.236,0.000,22.000,25078.000,37.575,0.000,27.000,22363.000,0,0,0,0,0,7.31,0,1.0,0,0,27,2900,27,2899
2025-11-07T06:47:58,A_BASELINE,9,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0,1.0,0,0,27,2899,27,2899
2025-11-07T06:47:58,A_BASELINE,2,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,0,1.0,0,0,27,2899,27,2900
2025-11-07T06:48:05,C_FULL,18,100000,17389,17.39,82611,82.61,0,0.00,31.067,0.000,22.000,11475.000,39.019,0.000,27.000,165839.000,0,0,0,0,0,7.36,0,1.0,0,0,27,2899,27,2900
2025-11-07T06:48:13,B_CACHE,19,100000,17389,17.39,82611,82.61,0,0.00,33.889,0.000,21.000,51816.000,38.181,0.000,26.000,211737.000,0,0,0,0,0,7.27,0,1.0,0,0,27,2900,27,2901
2025-11-07T06:48:21,A_BASELINE,21,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24,0,1.0,0,0,27,2900,27,2899
2025-11-07T06:48:21,A_BASELINE,22,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51,0,1.0,0,0,27,2899,27,3283
2025-11-07T06:48:29,C_FULL,28,100000,17389,17.39,82611,82.61,0,0.00,31.269,0.000,22.000,366.000,37.089,0.000,27.000,42166.000,0,0,0,0,0,6.72,0,1.0,0,0,27,2900,27,2906
2025-11-07T06:48:37,A_BASELINE,12,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82,0,1.0,0,0,27,2899,27,2899
2025-11-07T06:48:37,A_BASELINE,26,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,0,1.0,0,0,27,2899,27,2899
2025-11-07T06:48:44,B_CACHE,24,100000,17389,17.39,82611,82.61,0,0.00,31.633,0.000,22.000,416.000,37.500,0.000,26.000,68094.000,0,0,0,0,0,6.66,0,1.0,0,0,27,2900,27,2900
2025-11-07T06:48:44,B_CACHE,10,100000,17389,17.39,82611,82.61,0,0.00,41.244,0.000,22.000,189769.000,43.105,0.000,27.000,181813.000,0,0,0,0,0,7.98,0,1.0,0,0,27,2899,27,2897
2025-11-07T06:48:45,B_CACHE,2,100000,17389,17.39,82611,82.61,0,0.00,31.486,0.000,22.000,1731.000,39.845,0.000,27.000,70154.000,0,0,0,0,0,7.27,0,1.0,0,0,27,2900,27,2899
2025-11-07T06:48:45,B_CACHE,23,100000,17389,17.39,82611,82.61,0,0.00,29.998,0.000,22.000,251.000,36.882,0.000,27.000,57458.000,0,0,0,0,0,6.55,0,1.0,0,0,27,2900,27,2899
2025-11-07T06:48:52,A_BASELINE,6,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51,0,1.0,0,0,27,2899,27,2899
2025-11-07T06:48:53,A_BASELINE,5,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,1.0,0,0,27,2900,27,2900
2025-11-07T06:49:00,C_FULL,10,100000,17389,17.39,82611,82.61,0,0.00,30.835,0.000,22.000,256.000,36.312,0.000,27.000,13861.000,0,0,0,0,0,6.56,0,1.0,0,0,27,2900,27,2904
2025-11-07T06:49:01,C_FULL,27,100000,17389,17.39,82611,82.61,0,0.00,43.368,0.000,22.000,200647.000,37.763,0.000,27.000,14673.000,0,0,0,0,0,7.55,0,1.0,0,0,27,2880,27,3055
2025-11-07T06:49:08,A_BASELINE,1,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59,0,1.0,0,0,27,2900,27,3033
