timestamp,run_id,config_bits,L1_heat_tracking,L2_rolling_window,L3_linear_decay,L4_pipelining_metrics,L5_window_inference,L6_decay_inference,L7_adaptive_heartrate,replicate,L1_heat,L2_window,L3_decay,L4_pipeline,L5_win_inf,L6_decay_inf,L7_heartrate,total_lookups,cache_hits,cache_hit_pct,bucket_hits,bucket_hit_pct,cache_lat_ns,cache_lat_std,bucket_lat_ns,bucket_lat_std,ctx_pred_total,ctx_correct,ctx_acc_pct,cache_promos,cache_demos,win_diversity_pct,win_final_bytes,win_width,win_total_exec,win_var_q48,decay_slope,total_heat,hot_words,stale_words,stale_ratio,avg_heat,tick_count,tick_target_ns,infer_runs,early_exits,prefetch_acc_pct,prefetch_attempts,prefetch_hits,win_tune_checks,final_win_size,workload_ns_q48,runtime_ms,words_exec,dict_lookups,mem_bytes,speedup,ci_lower,ci_upper,cpu_temp_delta,cpu_freq_delta,decay_rate_q16,decay_min_ns,rolling_win_size,shrink_rate,demotion_thresh,hotwords_enabled,pipelining_enabled
2025-11-22 23:44:04,33,0100100,0,1,0,0,1,0,0,3,0,1,0,0,1,0,0,3991,0,0.00,3272,81.98,0,0,58,4479,0,0,0.00,0,0,0.00,4096,4096,1630,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,189296934912,0,4501,4395,0,1.0000,0.000000,0.000000,0,-36110336,1,1000,4096,75,10,1,1
2025-11-22 23:44:11,75,0010010,0,0,1,0,0,1,0,15,0,0,1,0,0,1,0,3991,0,0.00,3272,81.98,0,0,40,2133,0,0,0.00,0,0,0.00,4096,4096,0,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,132630118400,0,4501,4395,0,1.0000,0.000000,0.000000,0,21102592,1,1000,4096,75,10,1,1
2025-11-22 23:44:17,78,0010010,0,0,1,0,0,1,0,18,0,0,1,0,0,1,0,3991,0,0.00,3272,81.98,0,0,42,2366,0,0,0.00,0,0,0.00,4096,4096,0,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,138269425664,0,4501,4395,0,1.0000,0.000000,0.000000,0,-12779520,1,1000,4096,75,10,1,1
2025-11-22 23:44:24,7,0010111,0,0,1,0,1,1,1,7,0,0,1,0,1,1,1,3991,0,0.00,3272,81.98,0,0,42,2531,0,0,0.00,0,0,0.00,4096,4096,0,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,138558963712,0,4501,4395,0,1.0000,0.000000,0.000000,0,-47054848,1,1000,4096,75,10,1,1
2025-11-22 23:44:30,179,1000101,1,0,0,0,1,0,1,29,1,0,0,0,1,0,1,3991,1327,33.25,1945,48.73,30,1003,54,9779,0,0,0.00,12,0,0.00,4096,4096,0,0,0.333328,812,5,22,0.074576,2.752542,0,1000000,0,0,0.00,0,0,0,4096,135816806400,0,4501,4395,0,1.0000,0.000000,0.000000,0,-327680,1,1000,4096,75,10,1,1
2025-11-22 23:44:37,111,0110111,0,1,1,0,1,1,1,21,0,1,1,0,1,1,1,3991,0,0.00,3272,81.98,0,0,41,2285,0,0,0.00,0,0,0.00,4096,4096,1630,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,132946001920,0,4501,4395,0,1.0000,0.000000,0.000000,0,-196608,1,1000,4096,75,10,1,1
2025-11-22 23:44:44,144,0100101,0,1,0,0,1,0,1,24,0,1,0,0,1,0,1,3991,0,0.00,3272,81.98,0,0,40,2148,0,0,0.00,0,0,0.00,4096,4096,1630,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,133004722176,0,4501,4395,0,1.0000,0.000000,0.000000,0,-524288,1,1000,4096,75,10,1,1
2025-11-22 23:44:51,95,0110111,0,1,1,0,1,1,1,5,0,1,1,0,1,1,1,3991,0,0.00,3272,81.98,0,0,42,2329,0,0,0.00,0,0,0.00,4096,4096,1630,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,131789684736,0,4501,4395,0,1.0000,0.000000,0.000000,0,5963776,1,1000,4096,75,10,1,1
2025-11-22 23:44:57,121,0100101,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,3991,0,0.00,3272,81.98,0,0,38,1950,0,0,0.00,0,0,0.00,4096,4096,1630,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,124098248704,0,4501,4395,0,1.0000,0.000000,0.000000,0,6553600,1,1000,4096,75,10,1,1
2025-11-22 23:45:04,156,1000101,1,0,0,0,1,0,1,6,1,0,0,0,1,0,1,3991,1327,33.25,1945,48.73,33,1257,56,4330,0,0,0.00,12,0,0.00,4096,4096,0,0,0.333328,812,5,22,0.074576,2.752542,0,1000000,0,0,0.00,0,0,0,4096,143836381184,0,4501,4395,0,1.0000,0.000000,0.000000,0,-12910592,1,1000,4096,75,10,1,1
2025-11-22 23:45:10,194,0000011,0,0,0,0,0,1,1,14,0,0,0,0,0,1,1,3991,0,0.00,3272,81.98,0,0,49,3260,0,0,0.00,0,0,0.00,4096,4096,0,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,158697062400,0,4501,4395,0,1.0000,0.000000,0.000000,0,5373952,1,1000,4096,75,10,1,1
2025-11-22 23:45:17,108,0110111,0,1,1,0,1,1,1,18,0,1,1,0,1,1,1,3991,0,0.00,3272,81.98,0,0,42,10574,0,0,0.00,0,0,0.00,4096,4096,1630,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,130638544896,0,4501,4395,0,1.0000,0.000000,0.000000,0,-1703936,1,1000,4096,75,10,1,1
2025-11-22 23:45:24,180,1000101,1,0,0,0,1,0,1,30,1,0,0,0,1,0,1,3991,1327,33.25,1945,48.73,44,2209,76,24035,0,0,0.00,12,0,0.00,4096,4096,0,0,0.333328,812,5,22,0.074576,2.752542,0,1000000,0,0,0.00,0,0,0,4096,195484647424,0,4501,4395,0,1.0000,0.000000,0.000000,0,-34078720,1,1000,4096,75,10,1,1
2025-11-22 23:45:30,184,0000011,0,0,0,0,0,1,1,4,0,0,0,0,0,1,1,3991,0,0.00,3272,81.98,0,0,36,1729,0,0,0.00,0,0,0.00,4096,4096,0,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,115808665600,0,4501,4395,0,1.0000,0.000000,0.000000,0,0,1,1000,4096,75,10,1,1
