cfg,rep,seed_12345,seed_67890,seed_13579,delta_q48,position_effect
13,9,64512,64512,64768,256,1
13,10,64512,64512,64512,0,0
13,11,64512,64512,64512,0,0
13,12,64512,64512,64512,0,0
13,13,64768,64768,64512,256,1
13,14,64512,64512,64512,0,0
13,15,64512,64512,64512,0,0
13,16,64512,64512,64512,0,0
13,17,64512,64512,63488,1024,1
13,18,64512,64512,64512,0,0
13,19,64512,64512,64512,0,0
13,20,64512,64768,64512,256,1
13,21,64512,64512,64512,0,0
13,22,64512,64768,64512,256,1
13,23,64512,64512,64768,256,1
13,24,64768,64512,64512,256,1
13,25,64512,64512,64512,0,0
13,26,64512,64512,64512,0,0
13,27,64768,64512,64512,256,1
13,28,64512,64000,64512,512,1
13,29,64512,64512,64768,256,1
14,0,64512,64512,64512,0,0
14,1,64768,64512,64512,256,1
14,2,64512,64512,64512,0,0
14,3,64512,64768,64512,256,1
14,4,64512,64512,64512,0,0
14,5,64512,64512,64768,256,1
14,6,64512,64512,64512,0,0
14,7,64768,64512,64512,256,1
14,8,64512,64768,64768,256,1
14,9,64512,64512,64512,0,0
14,10,64512,64512,64512,0,0
14,11,64768,64512,64512,256,1
14,12,64512,64512,64512,0,0
14,13,64512,63488,64512,1024,1
14,14,64512,64512,64512,0,0
14,15,64768,64512,64512,256,1
14,16,64512,64768,64512,256,1
14,17,64512,64512,64512,0,0
14,18,64512,64768,64512,256,1
14,19,64512,64512,64512,0,0
14,20,64512,64512,64512,0,0
14,21,64512,64512,63488,1024,1
14,22,64512,64512,64512,0,0
14,23,64512,64512,64512,0,0
14,24,64768,64512,64512,256,1
14,25,64512,64512,64512,0,0
14,26,64512,64512,64512,0,0
14,27,64512,64512,64512,0,0
14,28,64512,64512,64512,0,0
14,29,64512,64512,64512,0,0
15,0,64512,64512,64512,0,0
15,1,64512,64512,64512,0,0
15,2,64768,64512,64512,256,1
15,3,64768,64512,64512,256,1
15,4,64768,64512,64512,256,1
15,5,64512,64512,64512,0,0
15,6,64512,64512,64512,0,0
15,7,64768,64512,64512,256,1
15,8,64512,64512,64512,0,0
15,9,64000,64512,64512,512,1
15,10,64512,64512,64512,0,0
15,11,64512,64512,64768,256,1
15,12,64512,63488,64256,1024,1
15,13,64512,64512,64768,256,1
15,14,64512,64512,64512,0,0
15,15,64512,64512,64768,256,1
15,16,64768,64512,64512,256,1
15,17,64512,64512,64512,0,0
15,18,64512,63488,64512,1024,1
15,19,64256,64512,64512,256,1
