"config_bits","config_decimal","L1_heat_tracking","L2_rolling_window","L3_linear_decay","L4_pipelining_metrics","L5_window_inference","L6_decay_inference","L7_adaptive_heartrate","n_reps","mean_ns","sd_ns","se_ns","min_ns","max_ns","cv_pct","rank","is_best","is_worst","L1234","L567","speed_norm","stability_norm","optimality_score","steady_state_score","optimality_rank","optimality_percentile","is_top5pct"
"1000010",193,"1","0","0","0","0","1","0",300,34304223.1005021,6144578.76945653,354757.420660259,27434540.2497223,94106376.2470562,17.9120184458181,38,FALSE,FALSE,"1000","010",0.0972319519422194,0.315379054887268,0.330027272721635,0.228120213709249,37,71.875,FALSE
"1110000",239,"1","1","1","0","0","0","0",300,34872786.6066859,6225367.18239205,359421.741855831,27121653.5347701,71357099.4250167,17.8516481995118,59,FALSE,FALSE,"1110","000",0.117617726711641,0.310780877892037,0.332293068992056,0.233515617419879,38,71.09375,FALSE
"0110000",175,"0","1","1","0","0","0","0",300,31923186.4073347,5800203.81224262,334874.923235297,24959591.628527,71349324.2141746,18.1692508330245,8,FALSE,FALSE,"0110","000",0.0118601733867601,0.334971488538781,0.33518138648596,0.205726962477972,39,70.3125,FALSE
"1110011",242,"1","1","1","0","0","1","1",300,34626847.7574228,6253126.13697318,361024.405845815,27247338.2163964,94140476.5163297,18.0586063761254,53,FALSE,FALSE,"1110","011",0.108799619440247,0.326544112016537,0.344192408810844,0.239446314986021,40,69.53125,FALSE
"0000111",134,"0","0","0","0","1","1","1",300,32417701.8048848,6001420.99242865,346492.202549895,24999283.0606532,68334959.4205732,18.5127897978392,27,FALSE,FALSE,"0000","111",0.0295909623044886,0.36113757301958,0.362347860068993,0.228518928733544,41,68.75,FALSE
"1100011",226,"1","1","0","0","0","1","1",300,34706472.7112612,6499049.27167392,375222.784647758,27259772.7296156,74716383.6374139,18.7257556414403,55,FALSE,FALSE,"1100","011",0.111654562392654,0.377358388781182,0.393530297291867,0.271076858225771,42,67.96875,FALSE
"1000011",194,"1","0","0","0","0","1","1",300,34336269.685184,6468649.63761287,373467.660956917,27034247.9342368,92555105.2015108,18.8391158880141,42,FALSE,FALSE,"1000","011",0.0983809783048851,0.385992616896225,0.398332922554265,0.270947961459689,43,67.1875,FALSE
"0000100",131,"0","0","0","0","1","0","0",300,32202960.6251174,6150107.1260545,355076.60047726,25023060.0630971,78108690.6554099,19.0979556123718,18,FALSE,FALSE,"0000","100",0.0218914436458922,0.405707475436901,0.406297662964341,0.252181062720498,44,66.40625,FALSE
"0110011",178,"0","1","1","0","0","1","1",300,32081170.6349345,6140739.46615961,354535.758381061,25601425.091313,91914247.28016,19.1412574560877,17,FALSE,FALSE,"0110","011",0.0175246784876717,0.409005615726329,0.409380883837741,0.252413240830866,45,65.625,FALSE
"0010100",147,"0","0","1","0","1","0","0",300,32604176.3560927,6293953.61166536,363381.581196201,25113537.8911353,77676642.2821595,19.3041331359662,30,FALSE,FALSE,"0010","100",0.0362769844635047,0.421411250126106,0.422969811375012,0.267357543861065,46,64.84375,FALSE
