timestamp,run_id,L1_heat_tracking,L2_rolling_window,L3_linear_decay,L4_pipelining_metrics,L5_window_inference,L6_decay_inference,L7_adaptive_heartrate,replicate,L1_heat,L2_window,L3_decay,L4_pipeline,L5_win_inf,L6_decay_inf,L7_heartrate,total_lookups,cache_hits,cache_hit_pct,bucket_hits,bucket_hit_pct,cache_lat_ns,cache_lat_std,bucket_lat_ns,bucket_lat_std,ctx_pred_total,ctx_correct,ctx_acc_pct,cache_promos,cache_demos,win_diversity_pct,win_final_bytes,win_width,win_total_exec,win_var_q48,decay_slope,total_heat,hot_words,stale_words,stale_ratio,avg_heat,tick_count,tick_target_ns,infer_runs,early_exits,prefetch_acc_pct,prefetch_attempts,prefetch_hits,win_tune_checks,final_win_size,workload_ns_q48,runtime_ms,words_exec,dict_lookups,mem_bytes,speedup,ci_lower,ci_upper,cpu_temp_delta,cpu_freq_delta,decay_rate_q16,decay_min_ns,rolling_win_size,shrink_rate,demotion_thresh,hotwords_enabled,pipelining_enabled
2025-11-22 09:01:31,873,0,0,1,1,1,0,1,3,0,0,1,1,1,0,1,3991,294,7.37,2978,74.62,40,1891,46,3046,851,752,88.37,13,0,0.00,4096,4096,0,0,0.333328,459,9,0,0.000000,1.610526,0,1000000,0,0,88.37,851,752,0,4096,194304212992,0,4501,4395,0,1.0000,0.000000,0.000000,0,-65536,1,1000,4096,75,10,1,1
2025-11-22 09:01:39,1877,0,1,1,1,1,1,0,17,0,1,1,1,1,1,0,3991,294,7.37,2978,74.62,39,1754,47,3584,851,752,88.37,13,0,0.00,4096,4096,1630,0,0.333328,459,9,0,0.000000,1.610526,0,1000000,0,0,88.37,851,752,0,4096,213490466816,0,4501,4395,0,1.0000,0.000000,0.000000,0,0,1,1000,4096,75,10,1,1
2025-11-22 09:01:46,3507,1,1,1,0,1,0,0,27,1,1,1,0,1,0,0,3991,1084,27.16,2188,54.82,29,899,48,2942,0,0,0.00,7,0,0.00,4096,4096,1630,0,0.333328,624,5,27,0.094737,2.189474,0,1000000,0,0,0.00,0,0,0,4096,136595177472,0,4501,4395,0,1.0000,0.000000,0.000000,0,7340032,1,1000,4096,75,10,1,1
2025-11-22 09:01:53,2398,1,0,0,1,1,1,1,28,1,0,0,1,1,1,1,3991,1429,35.81,1843,46.18,33,1294,56,4196,851,752,88.37,19,0,0.00,4096,4096,0,0,0.333328,785,10,20,0.070175,2.754386,0,1000000,0,0,88.37,851,752,0,4096,191404310528,0,4501,4395,0,1.0000,0.000000,0.000000,0,-262144,1,1000,4096,75,10,1,1
2025-11-22 09:01:59,253,0,0,0,1,0,0,0,13,0,0,0,1,0,0,0,3991,294,7.37,2978,74.62,37,1512,43,2546,851,752,88.37,13,0,0.00,4096,4096,0,0,0.333328,459,9,0,0.000000,1.610526,0,1000000,0,0,88.37,851,752,0,4096,207413379072,0,4501,4395,0,1.0000,0.000000,0.000000,0,131072,1,1000,4096,75,10,1,1
2025-11-22 09:02:07,2049,1,0,0,0,1,0,0,9,1,0,0,0,1,0,0,3991,1327,33.25,1945,48.73,32,1209,59,4776,0,0,0.00,12,0,0.00,4096,4096,0,0,0.333328,812,5,22,0.077193,2.849123,0,1000000,0,0,0.00,0,0,0,4096,151184670720,0,4501,4395,0,1.0000,0.000000,0.000000,0,-12386304,1,1000,4096,75,10,1,1
2025-11-22 09:02:13,572,0,0,1,0,0,1,1,2,0,0,1,0,0,1,1,3991,0,0.00,3272,81.98,0,0,39,2032,0,0,0.00,0,0,0.00,4096,4096,0,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,130011430912,0,4501,4395,0,1.0000,0.000000,0.000000,0,-14024704,1,1000,4096,75,10,1,1
2025-11-22 09:02:20,490,0,0,1,0,0,0,0,10,0,0,1,0,0,0,0,3991,0,0.00,3272,81.98,0,0,48,2944,0,0,0.00,0,0,0.00,4096,4096,0,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,159622168576,0,4501,4395,0,1.0000,0.000000,0.000000,0,13041664,1,1000,4096,75,10,1,1
2025-11-22 09:02:26,2646,1,0,1,1,0,0,0,6,1,0,1,1,0,0,0,3991,1086,27.21,2186,54.77,46,2515,83,11379,851,752,88.37,15,0,0.00,4096,4096,0,0,0.333328,522,7,25,0.087719,1.831579,0,1000000,0,0,88.37,851,752,0,4096,383802015744,0,4501,4395,0,1.0000,0.000000,0.000000,0,-28377088,1,1000,4096,75,10,1,1
2025-11-22 09:02:33,505,0,0,1,0,0,0,0,25,0,0,1,0,0,0,0,3991,0,0.00,3272,81.98,0,0,56,4008,0,0,0.00,0,0,0.00,4096,4096,0,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,188450537472,0,4501,4395,0,1.0000,0.000000,0.000000,0,-25821184,1,1000,4096,75,10,1,1
