"config_bits","config_decimal","L1_heat_tracking","L2_rolling_window","L3_linear_decay","L4_pipelining_metrics","L5_window_inference","L6_decay_inference","L7_adaptive_heartrate","n_reps","mean_ns","sd_ns","se_ns","min_ns","max_ns","cv_pct","rank","is_best","is_worst"
"1010110",213,"1","0","1","0","1","1","0",30,35998394.8043546,6401073.2077622,1168670.72937777,29308278.7007332,56008804.1021995,17.7815517679357,56,FALSE,FALSE
"1010111",214,"1","0","1","0","1","1","1",30,37577536.2436199,18846226.0818649,3440834.38295987,26910645.3783604,133646978.019107,50.1529050752088,63,FALSE,FALSE
"1011000",215,"1","0","1","1","0","0","0",30,53849326.1673998,8773621.97367663,1601836.88866856,47635295.1539658,85270387.8569207,16.2929094904592,114,FALSE,FALSE
"1011001",216,"1","0","1","1","0","0","1",30,56048998.3507072,10744054.3504119,1961586.97559403,45828272.0888691,93026116.9908909,19.1690389954601,120,FALSE,FALSE
"1011010",217,"1","0","1","1","0","1","0",30,51540752.4979042,10012088.2931196,1827948.868625,40285260.2141746,72584490.7140635,19.4255764766467,103,FALSE,FALSE
"1011011",218,"1","0","1","1","0","1","1",30,53096220.3129971,16417634.8869392,2997436.32282012,41485976.9971118,127120693.179293,30.9205340609158,112,FALSE,FALSE
"1011100",219,"1","0","1","1","1","0","0",30,46030622.1937051,5665364.79704344,1034349.36527879,40124092.0328816,62073526.8002666,12.3078171161853,68,FALSE,FALSE
"1011101",220,"1","0","1","1","1","0","1",30,47432041.8239502,7042814.72458839,1285836.16432887,38561784.26483,62300391.1450789,14.8482216952174,76,FALSE,FALSE
"1011110",221,"1","0","1","1","1","1","0",30,57407195.1858994,8615657.30878612,1572996.61858547,48601838.3114863,75187701.1935126,15.0079746639535,122,FALSE,FALSE
"1011111",222,"1","0","1","1","1","1","1",30,58524517.7364438,14635065.0754224,2671985.0907883,47009041.2335037,120014019.426794,25.0067247735884,124,FALSE,FALSE
"1100000",223,"1","1","0","0","0","0","0",30,35079114.9306673,11036902.6708791,2015053.51927651,27973111.9235725,89363148.1857365,31.4628880822484,47,FALSE,FALSE
"1100001",224,"1","1","0","0","0","0","1",30,37183456.3313042,6475832.21262392,1182319.79382424,29678693.2397245,58262639.7049545,17.4158963462792,62,FALSE,FALSE
"1100010",225,"1","1","0","0","0","1","0",30,33816062.5060505,4955033.41454801,904661.191446597,28797648.2808265,46145541.46012,14.6528987922868,36,FALSE,FALSE
"1100011",226,"1","1","0","0","0","1","1",30,35246392.6222025,8409975.91519598,1535444.50560933,28527539.7858254,69419572.2123972,23.8605295167096,52,FALSE,FALSE
"1100100",227,"1","1","0","0","1","0","0",30,35063183.999289,5812292.00317435,1061174.48031516,28473579.2401689,51405879.2837147,16.5766235128339,46,FALSE,FALSE
"1100101",228,"1","1","0","0","1","0","1",30,38147937.7475228,14961302.2082446,2731547.56970248,27888283.4996667,91441881.3810264,39.2191638438337,64,FALSE,FALSE
"1100110",229,"1","1","0","0","1","1","0",30,34148492.0824113,6937379.0976873,1266586.34058939,27581817.8858032,53170269.7320595,20.3153307060973,37,FALSE,FALSE
"1100111",230,"1","1","0","0","1","1","1",30,34779577.6023698,9907391.88317282,1808834.00681911,28419575.0135525,78777460.7100644,28.4862340665625,43,FALSE,FALSE
