run_id,L1_heat_tracking,L2_rolling_window,L3_linear_decay,L4_pipelining_metrics,L5_window_inference,L6_decay_inference,L7_adaptive_heartrate,replicate
989,0,1,0,0,0,0,0,29
1242,0,1,0,1,0,0,1,12
3634,1,1,1,1,0,0,1,4
3729,1,1,1,1,1,0,0,9
2293,1,0,0,1,1,0,0,13
1228,0,1,0,1,0,0,0,28
3542,1,1,1,0,1,1,0,2
3746,1,1,1,1,1,0,0,26
3730,1,1,1,1,1,0,0,10
357,0,0,0,1,0,1,1,27
3388,1,1,1,0,0,0,0,28
1061,0,1,0,0,0,1,1,11
2120,1,0,0,0,1,1,0,20
3679,1,1,1,1,0,1,0,19
1789,0,1,1,1,0,1,1,19
1899,0,1,1,1,1,1,1,9
3694,1,1,1,1,0,1,1,4
1786,0,1,1,1,0,1,1,16
2955,1,1,0,0,0,1,0,15
1066,0,1,0,0,0,1,1,16
3114,1,1,0,0,1,1,1,24
233,0,0,0,0,1,1,1,23
3643,1,1,1,1,0,0,1,13
1510,0,1,1,0,0,1,0,10
1706,0,1,1,1,0,0,0,26
3742,1,1,1,1,1,0,0,22
1374,0,1,0,1,1,0,1,24
714,0,0,1,0,1,1,1,24
3308,1,1,0,1,1,1,0,8
1583,0,1,1,0,1,0,0,23
2810,1,0,1,1,1,0,1,20
3265,1,1,0,1,1,0,0,25
2569,1,0,1,0,1,0,1,19
1938,1,0,0,0,0,0,0,18
818,0,0,1,1,0,1,1,8
1674,0,1,1,0,1,1,1,24
2292,1,0,0,1,1,0,0,12
881,0,0,1,1,1,0,1,11
455,0,0,0,1,1,1,1,5
3484,1,1,1,0,1,0,0,4
1791,0,1,1,1,0,1,1,21
1117,0,1,0,0,1,0,1,7
644,0,0,1,0,1,0,1,14
718,0,0,1,0,1,1,1,28
3129,1,1,0,1,0,0,0,9
412,0,0,0,1,1,0,1,22
464,0,0,0,1,1,1,1,14
1135,0,1,0,0,1,0,1,25
3745,1,1,1,1,1,0,0,25
1928,1,0,0,0,0,0,0,8
3726,1,1,1,1,1,0,0,6
3454,1,1,1,0,0,1,1,4
3657,1,1,1,1,0,0,1,27
2190,1,0,0,1,0,0,0,30
3232,1,1,0,1,0,1,1,22
2855,1,0,1,1,1,1,1,5
629,0,0,1,0,1,0,0,29
3398,1,1,1,0,0,0,1,8
1994,1,0,0,0,0,1,0,14
1148,0,1,0,0,1,1,0,8
742,0,0,1,1,0,0,0,22
3639,1,1,1,1,0,0,1,9
3829,1,1,1,1,1,1,1,19
1984,1,0,0,0,0,1,0,4
1235,0,1,0,1,0,0,1,5
7,0,0,0,0,0,0,0,7
580,0,0,1,0,0,1,1,10
2041,1,0,0,0,1,0,0,1
824,0,0,1,1,0,1,1,14
118,0,0,0,0,0,1,1,28
2948,1,1,0,0,0,1,0,8
2153,1,0,0,0,1,1,1,23
2536,1,0,1,0,1,0,0,16
790,0,0,1,1,0,1,0,10
2813,1,0,1,1,1,0,1,23
1452,0,1,1,0,0,0,0,12
1990,1,0,0,0,0,1,0,10
2747,1,0,1,1,0,1,1,17
2858,1,0,1,1,1,1,1,8
364,0,0,0,1,1,0,0,4
221,0,0,0,0,1,1,1,11
1688,0,1,1,1,0,0,0,8
2568,1,0,1,0,1,0,1,18
573,0,0,1,0,0,1,1,3
2598,1,0,1,0,1,1,0,18
653,0,0,1,0,1,0,1,23
2765,1,0,1,1,1,0,0,5
1883,0,1,1,1,1,1,0,23
1817,0,1,1,1,1,0,0,17
1150,0,1,0,0,1,1,0,10
360,0,0,0,1,0,1,1,30
956,0,0,1,1,1,1,1,26
3429,1,1,1,0,0,1,0,9
2470,1,0,1,0,0,1,0,10
180,0,0,0,0,1,0,1,30
1627,0,1,1,0,1,1,0,7
1163,0,1,0,0,1,1,0,23
3591,1,1,1,0,1,1,1,21
3753,1,1,1,1,1,0,1,3
3294,1,1,0,1,1,0,1,24
3391,1,1,1,0,0,0,1,1
892,0,0,1,1,1,0,1,22
1819,0,1,1,1,1,0,0,19
2176,1,0,0,1,0,0,0,16
2271,1,0,0,1,0,1,1,21
1335,0,1,0,1,1,0,0,15
1444,0,1,1,0,0,0,0,4
2476,1,0,1,0,0,1,0,16
3803,1,1,1,1,1,1,0,23
258,0,0,0,1,0,0,0,18
1381,0,1,0,1,1,1,0,1
1093,0,1,0,0,1,0,0,13
2689,1,0,1,1,0,0,1,19
563,0,0,1,0,0,1,0,23
659,0,0,1,0,1,0,1,29
313,0,0,0,1,0,1,0,13
1925,1,0,0,0,0,0,0,5
1974,1,0,0,0,0,0,1,24
1782,0,1,1,1,0,1,1,12
2806,1,0,1,1,1,0,1,16
3130,1,1,0,1,0,0,0,10
680,0,0,1,0,1,1,0,20
2136,1,0,0,0,1,1,1,6
867,0,0,1,1,1,0,0,27
826,0,0,1,1,0,1,1,16
2794,1,0,1,1,1,0,1,4
1387,0,1,0,1,1,1,0,7
2264,1,0,0,1,0,1,1,14
479,0,0,0,1,1,1,1,29
946,0,0,1,1,1,1,1,16
789,0,0,1,1,0,1,0,9
605,0,0,1,0,1,0,0,5
834,0,0,1,1,0,1,1,24
415,0,0,0,1,1,0,1,25
3184,1,1,0,1,0,1,0,4
621,0,0,1,0,1,0,0,21
1569,0,1,1,0,1,0,0,9
3545,1,1,1,0,1,1,0,5
254,0,0,0,1,0,0,0,14
1661,0,1,1,0,1,1,1,11
3735,1,1,1,1,1,0,0,15
3354,1,1,0,1,1,1,1,24
2060,1,0,0,0,1,0,0,20
2732,1,0,1,1,0,1,1,2
1276,0,1,0,1,0,1,0,16
1541,0,1,1,0,0,1,1,11
1122,0,1,0,0,1,0,1,12
3352,1,1,0,1,1,1,1,22
1605,0,1,1,0,1,0,1,15
2014,1,0,0,0,0,1,1,4
2801,1,0,1,1,1,0,1,11
2035,1,0,0,0,0,1,1,25
641,0,0,1,0,1,0,1,11
1464,0,1,1,0,0,0,0,24
2270,1,0,0,1,0,1,1,20
3654,1,1,1,1,0,0,1,24
11,0,0,0,0,0,0,0,11
2538,1,0,1,0,1,0,0,18
1512,0,1,1,0,0,1,0,12
3424,1,1,1,0,0,1,0,4
3096,1,1,0,0,1,1,1,6
1309,0,1,0,1,0,1,1,19
2236,1,0,0,1,0,1,0,16
1905,0,1,1,1,1,1,1,15
2615,1,0,1,0,1,1,1,5
2941,1,1,0,0,0,1,0,1
3548,1,1,1,0,1,1,0,8
337,0,0,0,1,0,1,1,7
2960,1,1,0,0,0,1,0,20
2083,1,0,0,0,1,0,1,13
163,0,0,0,0,1,0,1,13
1075,0,1,0,0,0,1,1,25
1263,0,1,0,1,0,1,0,3
2945,1,1,0,0,0,1,0,5
1229,0,1,0,1,0,0,0,29
39,0,0,0,0,0,0,1,9
866,0,0,1,1,1,0,0,26
3505,1,1,1,0,1,0,0,25
2135,1,0,0,0,1,1,1,5
152,0,0,0,0,1,0,1,2
3074,1,1,0,0,1,1,0,14
1379,0,1,0,1,1,0,1,29
1308,0,1,0,1,0,1,1,18
2583,1,0,1,0,1,1,0,3
2287,1,0,0,1,1,0,0,7
1519,0,1,1,0,0,1,0,19
2451,1,0,1,0,0,0,1,21
2939,1,1,0,0,0,0,1,29
3821,1,1,1,1,1,1,1,11
3503,1,1,1,0,1,0,0,23
917,0,0,1,1,1,1,0,17
341,0,0,0,1,0,1,1,11
2098,1,0,0,0,1,0,1,28
593,0,0,1,0,0,1,1,23
81,0,0,0,0,0,1,0,21
1404,0,1,0,1,1,1,0,24
2895,1,1,0,0,0,0,0,15
2844,1,0,1,1,1,1,0,24
3226,1,1,0,1,0,1,1,16
2951,1,1,0,0,0,1,0,11
792,0,0,1,1,0,1,0,12
47,0,0,0,0,0,0,1,17
2133,1,0,0,0,1,1,1,3
2935,1,1,0,0,0,0,1,25
698,0,0,1,0,1,1,1,8
1845,0,1,1,1,1,0,1,15
3022,1,1,0,0,1,0,0,22
1005,0,1,0,0,0,0,1,15
1133,0,1,0,0,1,0,1,23
2458,1,0,1,0,0,0,1,28
2831,1,0,1,1,1,1,0,11
1926,1,0,0,0,0,0,0,6
3830,1,1,1,1,1,1,1,20
998,0,1,0,0,0,0,1,8
2550,1,0,1,0,1,0,0,30
1155,0,1,0,0,1,1,0,15
3390,1,1,1,0,0,0,0,30
843,0,0,1,1,1,0,0,3
1725,0,1,1,1,0,0,1,15
1131,0,1,0,0,1,0,1,21
196,0,0,0,0,1,1,0,16
681,0,0,1,0,1,1,0,21
243,0,0,0,1,0,0,0,3
560,0,0,1,0,0,1,0,20
1858,0,1,1,1,1,0,1,28
2628,1,0,1,0,1,1,1,18
589,0,0,1,0,0,1,1,19
234,0,0,0,0,1,1,1,24
3235,1,1,0,1,0,1,1,25
3304,1,1,0,1,1,1,0,4
830,0,0,1,1,0,1,1,20
3334,1,1,0,1,1,1,1,4
3516,1,1,1,0,1,0,1,6
3254,1,1,0,1,1,0,0,14
716,0,0,1,0,1,1,1,26
3399,1,1,1,0,0,0,1,9
2910,1,1,0,0,0,0,0,30
3217,1,1,0,1,0,1,1,7
3728,1,1,1,1,1,0,0,8
3221,1,1,0,1,0,1,1,11
2660,1,0,1,1,0,0,0,20
1632,0,1,1,0,1,1,0,12
658,0,0,1,0,1,0,1,28
293,0,0,0,1,0,0,1,23
3370,1,1,1,0,0,0,0,10
