"tick_count","duration_ns","mean_interval_ns","sd_interval_ns","mean_heat","max_heat","mean_hot_words","max_hot_words","mean_jitter_ns","sd_jitter_ns","run_id","init_script","replicate","cv_interval"
25,6225527,21014718501171.6,105073592139976,0.00033488,0.000795,6.48,14,21014718491171.6,105073592139976,77,"init-l8-volatile.4th",8,4.99999998258927
25,6398611,21014718759892,105073593436305,0.00035592,0.00072,7.12,14,21014718749892,105073593436305,78,"init-l8-volatile.4th",19,4.999999982719
25,6085515,21014719007637.8,105073594665091,0.00032664,0.000635,6.52,14,21014718997637.8,105073594665091,79,"init-l8-transition.4th",18,4.99999998224588
25,6504783,21014719268624.8,105073595985084,0.0003448,0.00089,6.76,14,21014719258624.8,105073595985084,80,"init-l8-temporal.4th",16,4.99999998296239
25,5772363,21014719503832.4,105073597155314,0.00036444,0.00075,7.08,14,21014719493832.4,105073597155314,81,"init-l8-omni.4th",9,4.99999998268606
25,6291857,21014719759027.5,105073598424296,0.0003296,0.00072,6.48,13,21014719749027.5,105073598424296,82,"init-l8-volatile.4th",9,4.99999998235324
18,7813468,29187111206642.1,123830425014899,0.000305333333333333,0.000554,7,14,29187111196642.1,123830425014899,83,"init-l8-transition.4th",28,4.24264066896483
16,6010071,32835500495818.4,131342001590178,0.0002500625,0.000552,7.3125,13,32835500485818.4,131342001590178,84,"init-l8-volatile.4th",23,3.99999998802833
23,6990904,22842087614847.1,109546803362568,0.000331130434782609,0.000827,6.08695652173913,13,22842087604847.1,109546803362568,85,"init-l8-temporal.4th",21,4.79583150234325
16,6749321,32835501342635.1,131342005064129,0.00030375,0.000673,7.875,14,32835501332635.1,131342005064129,86,"init-l8-omni.4th",24,3.9999999906683
25,6507808,21014721146567.8,105073605371564,0.000348,0.000735,6.6,13,21014721136567.8,105073605371564,87,"init-l8-volatile.4th",1,4.99999998280848
26,6384573,20206462896407.4,103033148209909,0.0003435,0.000721,6.65384615384615,14,20206462886407.4,103033148209909,88,"init-l8-stable.4th",27,5.09901949381888
25,6277371,21014721661239.3,105073607913560,0.00032388,0.000706,6.52,14,21014721651239.3,105073607913560,89,"init-l8-volatile.4th",26,4.99999998131611
25,7384341,21014721959556.6,105073609424946,0.00033028,0.000667,7.12,14,21014721949556.6,105073609424946,90,"init-l8-temporal.4th",8,4.99999998225828
24,5868337,21890335618155.2,107240304757836,0.000347666666666667,0.000714,6.54166666666667,14,21890335608155.2,107240304757836,91,"init-l8-omni.4th",8,4.89897946877041
23,6694187,22842089637102.6,109546813141726,0.00033395652173913,0.000712,6.39130434782609,13,22842089627102.6,109546813141726,92,"init-l8-transition.4th",19,4.79583150587889
26,7141582,20206464190452.8,103033154833485,0.000335884615384615,0.000663,6.80769230769231,14,20206464180452.8,103033154833485,93,"init-l8-diverse.4th",30,5.09901949506663
24,6295242,21890336469783.4,107240308910956,0.000338916666666667,0.000703,6.75,14,21890336459783.4,107240308910956,94,"init-l8-stable.4th",17,4.89897946790293
25,6867613,21014723292679.8,105073616064365,0.00034532,0.00086,6.16,14,21014723282679.8,105073616064365,95,"init-l8-omni.4th",6,4.99999998101172
25,6772525,21014723563601.1,105073617438115,0.00031736,0.000639,6.36,14,21014723553601.1,105073617438115,96,"init-l8-diverse.4th",28,4.99999998192263
25,6091614,21014723809035.3,105073618629028,0.00032768,0.000633,6.48,14,21014723799035.3,105073618629028,97,"init-l8-diverse.4th",11,4.99999998019732
16,6828160,32835506379655.2,131342025048746,0.0002458125,0.000514,6.25,13,32835506369655.2,131342025048746,98,"init-l8-transition.4th",23,3.99999998569003
28,7306672,18763146774893.2,99285239938537.2,0.000306857142857143,0.000561,6.28571428571429,14,18763146764893.2,99285239938537.2,99,"init-l8-volatile.4th",20,5.29150259973397
23,6686415,22842092003914,109546824543889,0.000315695652173913,0.000697,7.04347826086957,14,22842091993914,109546824543889,100,"init-l8-temporal.4th",5,4.79583150812626
24,5933601,21890338426452.3,107240318509606,0.000342416666666667,0.000707,6.95833333333333,13,21890338416452.3,107240318509606,101,"init-l8-transition.4th",29,4.89897946849541
24,6216675,21890338689058.3,107240319787103,0.000332083333333333,0.000654,6.70833333333333,13,21890338679058.3,107240319787103,102,"init-l8-transition.4th",22,4.89897946808407
25,6153158,21014725390185.8,105073626580998,0.00033352,0.000735,6.6,14,21014725380185.8,105073626580998,103,"init-l8-omni.4th",12,4.99999998239658
23,6709318,22842093113014.6,109546829804715,0.000301608695652174,0.000564,6.21739130434783,14,22842093103014.6,109546829804715,104,"init-l8-omni.4th",30,4.79583150557685
26,7143871,20206467262002.9,103033170506127,0.000355615384615385,0.000715,6.57692307692308,14,20206467252002.9,103033170506127,105,"init-l8-temporal.4th",28,5.09901949559857
25,6015145,21014726194355.5,105073630602872,0.00035148,0.000728,7.12,14,21014726184355.5,105073630602872,106,"init-l8-diverse.4th",6,4.99999998244539
24,6671787,21890340063844.5,107240326524404,0.000359,0.000714,6.70833333333333,13,21890340053844.5,107240326524404,107,"init-l8-temporal.4th",15,4.89897946818693
26,6354091,20206468005211.1,103033174275783,0.000345384615384615,0.00067,6.5,14,20206467995211.1,103033174275783,108,"init-l8-transition.4th",2,5.09901949460993
24,5853981,21890340578399.9,107240329063567,0.000328208333333333,0.000879,6.625,14,21890340568399.9,107240329063567,109,"init-l8-diverse.4th",8,4.89897946902597
24,6959631,21890340872125.1,107240330498165,0.000337875,0.000698,6.75,14,21890340862125.1,107240330498165,110,"init-l8-temporal.4th",2,4.89897946882698
24,6230716,21890341134030.2,107240331782433,0.000333625,0.000688,6.875,14,21890341124030.2,107240331782433,111,"init-l8-omni.4th",22,4.89897946888179
23,6401630,22842095378656,109546840696789,0.000324391304347826,0.000629,6.73913043478261,14,22842095368656,109546840696789,112,"init-l8-volatile.4th",10,4.79583150673433
25,6377248,21014728008777.2,105073639670333,0.00033516,0.000713,6.2,14,21014727998777.2,105073639670333,113,"init-l8-stable.4th",26,4.99999998222425
23,6085754,22842095922586.2,109546843331004,0.000333478260869565,0.000684,6.95652173913043,14,22842095912586.2,109546843331004,114,"init-l8-transition.4th",10,4.79583150785582
22,6402854,23880373301082.5,112008878786212,0.000365363636363636,0.000784,11.4545454545455,32,23880373291082.5,112008878786212,115,"init-l8-diverse.4th",26,4.6904157390678
19,5762199,27650958853642.6,120527735020370,0.000341263157894737,0.000827,6.84210526315789,14,27650958843642.6,120527735020370,116,"init-l8-omni.4th",5,4.35889893216098
24,5777002,21890342685317,107240339386983,0.000337166666666667,0.000728,6.875,14,21890342675317,107240339386983,117,"init-l8-stable.4th",2,4.89897946910237
23,6221653,22842096985880.7,109546848428218,0.000340304347826087,0.000754,6.60869565217391,14,22842096975880.7,109546848428218,118,"init-l8-omni.4th",18,4.79583150776095
24,5989764,21890343200568.3,107240341905068,0.000342791666666667,0.000669,6.875,15,21890343190568.3,107240341905068,119,"init-l8-temporal.4th",6,4.89897946882276
25,6749915,21014729748990.4,105073648372473,0.00033976,0.000852,6.2,14,21014729738990.4,105073648372473,120,"init-l8-omni.4th",21,4.99999998227533
26,6691214,20206471175583.4,103033190451797,0.000356230769230769,0.000707,6.30769230769231,14,20206471165583.4,103033190451797,121,"init-l8-omni.4th",28,5.09901949511587
25,5805237,21014730253204.6,105073650899997,0.000357,0.000636,6.96,14,21014730243204.6,105073650899997,122,"init-l8-temporal.4th",12,4.99999998258243
24,6678394,21890344298514.8,107240347256953,0.000310833333333333,0.000576,6.45833333333333,14,21890344288514.8,107240347256953,123,"init-l8-stable.4th",13,4.89897946759245
25,6213018,21014730775433.8,105073653509895,0.00035796,0.000732,7.08,14,21014730765433.8,105073653509895,124,"init-l8-temporal.4th",4,4.99999998252301
25,5994965,21014731017556.5,105073654721969,0.00033308,7e-04,6.56,14,21014731007556.5,105073654721969,125,"init-l8-temporal.4th",3,4.99999998259251
25,6642868,21014731287204.8,105073656073103,0.00032532,0.000654,6.08,14,21014731277204.8,105073656073103,126,"init-l8-transition.4th",27,4.99999998273015
